Domain,Passage,Q1,A1,Q1_Type,Q1_Difficulty,Q2,A2,Q2_Type,Q2_Difficulty,Q3,A3,Q3_Type,Q3_Difficult,Q4,A4,Q4_Type,Q4_Difficulty
Social Media Policy/Banking Regulations,"सोशल मीडिया प्लेटफार्मों पर अधिकांश कम्यूनिकेशन अनौपचारिक तरीके से किया जाता है, अतः सोशल मीडिया कम्यूनिकेशन के लिए बैंक की लेखन शैली के कड़ाई से पालन की आवश्यकता नहीं है। तथापि, व्यावसायिक संवाद अपेक्षित है।",सोशल मीडिया पर संवाद के लिए क्या शैली अपेक्षित है?,"व्यावसायिक संवाद अपेक्षित है, हालांकि बैंक की लेखन शैली के कड़ाई से पालन की आवश्यकता नहीं है।",Factual,Medium,सोशल मीडिया कम्यूनिकेशन किस तरीके से किया जाता है?,अनौपचारिक तरीके से।,Factual,Easy,लेखन शैली के संबंध में क्या छूट दी गई है?,सोशल मीडिया कम्यूनिकेशन के लिए बैंक की लेखन शैली के कड़ाई से पालन की आवश्यकता नहीं है।,Analytical,Medium,व्यावसायिक संवाद अपेक्षित होने का क्या कारण है?,क्योंकि बैंक एक व्यावसायिक संगठन है और उसकी छवि महत्वपूर्ण है।,Analytical,Medium
Social Media Policy/Banking Regulations,"नाबार्ड अपने कर्मचारियों को अपने ब्रांड एंबेसडर के रूप में मान्यता देता है। कर्मचारी अपनी व्यक्तिगत क्षमता में, अपनी जिम्मेदारी पर नाबार्ड द्वारा की गई विकासात्मक पहलों/सफलता की कहानियों/गतिविधियों को सोशल मीडिया पर पोस्ट करने के लिए स्वतंत्र हैं।",नाबार्ड अपने कर्मचारियों को किस रूप में मान्यता देता है?,ब्रांड एंबेसडर के रूप में।,Factual,Easy,कर्मचारी किस प्रकार की पोस्ट करने के लिए स्वतंत्र हैं?,विकासात्मक पहलों/सफलता की कहानियों/गतिविधियों को अपनी व्यक्तिगत क्षमता में।,Factual,Medium,कर्मचारियों को विकासात्मक पहलों को पोस्ट करने के लिए क्या शर्त है?,संबन्धित पोस्ट नाबार्ड संहिता में निर्धारित हो और कम्यूनिकेशन को नियंत्रित करने वाले मूल्यों के अनुरूप हों।,Analytical,Hard,ब्रांड एंबेसडर की भूमिका क्या है?,बैंक के मूल्यों और उपलब्धियों का सकारात्मक प्रचार करना।,Analytical,Medium
Social Media Policy/Banking Regulations,किसी भी कर्मचारी को किसी भी सोशल मीडिया प्लेटफॉर्म या वेबसाइट पर ऐसी चीजें जो बैंक या उसके किसी भी कर्मचारी की प्रतिष्ठा को नुकसान पहुंचाती हो ऐसे पोस्ट नहीं करना चाहिए।,कर्मचारियों को सोशल मीडिया पर क्या पोस्ट नहीं करना चाहिए?,ऐसी चीजें जो बैंक या उसके किसी भी कर्मचारी की प्रतिष्ठा को नुकसान पहुंचाती हो।,Factual,Medium,कर्मचारियों को अपनी पोस्ट में किन निर्देशों का पालन करना चाहिए?,"नाबार्ड संहिता में निर्धारित, आंतरिक/बाहरी कम्यूनिकेशन को नियंत्रित करने वाले मूल्यों और निर्देशों के अनुरूप।",Factual,Medium,नाबार्ड संहिता और कम्यूनिकेशन निर्देशों के अनुरूप होने का क्या अर्थ है?,आंतरिक और बाहरी संचार के लिए निर्धारित मानकों और दिशानिर्देशों का पालन करना।,Analytical,Medium,प्रतिष्ठा को नुकसान पहुंचाने वाली पोस्ट से क्या खतरा है?,बैंक की प्रतिष्ठा और विश्वसनीयता को गंभीर नुकसान हो सकता है।,Analytical,Medium
Social Media Policy/Banking Regulations,"सोशल मीडिया चैनलों पर पोस्ट की गई सभी सामग्री सांकेतिक और सूचनात्मक प्रकृति की होती है। यह बैंक की ओर से किसी भी संरचनात्मक दायित्व को नहीं दर्शाते हैं। सबसे प्रामाणिक जानकारी के लिए, कृपया बैंक की कॉर्पोरेट वेबसाइट www.nabard.org पर जाएं।",सोशल मीडिया पर पोस्ट की गई सामग्री की प्रकृति क्या है?,"सांकेतिक और सूचनात्मक प्रकृति की, जो बैंक की ओर से किसी संरचनात्मक दायित्व को नहीं दर्शाती।",Factual,Easy,सबसे प्रामाणिक जानकारी के लिए कहाँ जाना चाहिए?,बैंक की कॉर्पोरेट वेबसाइट www.nabard.org पर।,Factual,Easy,सोशल मीडिया पर पोस्ट की गई सामग्री किस प्रकार का दायित्व नहीं दर्शाती?,संरचनात्मक दायित्व।,Analytical,Medium,www.nabard.org पर जाने की सलाह क्यों दी गई है?,क्योंकि वह आधिकारिक और प्रामाणिक जानकारी का स्रोत है।,Analytical,Medium
Social Media Policy/Banking Regulations,"बैंक, आवश्यकता पड़ने पर किसी भी व्यक्ति को पूर्व सूचना दिए बिना अपने सोशल मीडिया चैनलों/प्लेटफार्मों पर पोस्ट की गई जानकारी, सामग्री को बदलने/सुधारने का अधिकार सुरक्षित रखता है।",बैंक को सोशल मीडिया पर सामग्री बदलने का अधिकार कब है?,आवश्यकता पड़ने पर किसी भी व्यक्ति को पूर्व सूचना दिए बिना।,Factual,Easy,बैंक सामग्री को सुधारने का अधिकार किसके विवेक पर है?,पूरी तरह से बैंक के विवेक पर।,Factual,Medium,बैंक सामग्री को बदलने/सुधारने का निर्णय किस आधार पर लेता है?,आवश्यकता और बैंक के विवेक के आधार पर।,Analytical,Medium,पूर्व सूचना दिए बिना सामग्री बदलने का अधिकार क्यों आवश्यक है?,ताकि गलत या पुरानी जानकारी को तुरंत ठीक किया जा सके।,Analytical,Medium
Social Media Policy/Banking Regulations,"बैंक के सोशल मीडिया चैनलों पर पोस्ट की गई सामग्री को उसके मूल प्रारूप में साझा करने की अनुमति है। तथापि, किसी भी व्यक्ति को मौद्रिक उद्देश्य से इस सामग्री का उपयोग करने, बदलने, सुधार, संशोधित करने, प्रकाशित करने का अधिकार नहीं है।",सोशल मीडिया पर पोस्ट की गई सामग्री का उपयोग कैसे किया जा सकता है?,"मूल प्रारूप में साझा करने की अनुमति है, लेकिन मौद्रिक उद्देश्य से उपयोग करने का अधिकार नहीं है।",Factual,Medium,किसी अन्य सोशल मीडिया चैनल को इस पेज से लिंक करने का अधिकार क्या है?,अधिकार नहीं है।,Factual,Medium,सामग्री को किस प्रारूप में साझा करने की अनुमति है?,मूल प्रारूप में।,Factual,Easy,मौद्रिक उद्देश्य से उपयोग पर प्रतिबंध क्यों है?,बौद्धिक संपदा अधिकारों की रक्षा के लिए और अनधिकृत व्यावसायिक उपयोग रोकने के लिए।,Analytical,Hard
Social Media Policy/Banking Regulations,"हमारे वेबसाइट पेज पर विशिष्ट व्यक्तियों या लक्षित समूहों के साथ संवाद करते समय अपमानजनक, अश्लील, डराने वाली, भेदभावपूर्ण, मानहानिकारक, आक्रामक, अप्रिय, धमकी, परेशान करने वाली, अनुचित भाषा के उपयोग करने से बचें।",सोशल मीडिया पर संवाद करते समय किस प्रकार की भाषा से बचना चाहिए?,"अपमानजनक, अश्लील, डराने वाली, भेदभावपूर्ण, मानहानिकारक, आक्रामक, अप्रिय, धमकी, परेशान करने वाली, अनुचित भाषा से।",Factual,Easy,संवाद में किस प्रकार की भाषा का उपयोग वर्जित है?,"अपमानजनक, अश्लील, डराने वाली, भेदभावपूर्ण, मानहानिकारक, आक्रामक, अप्रिय, धमकी, परेशान करने वाली, अनुचित भाषा।",Factual,Easy,अनुचित भाषा का उपयोग करने से क्यों बचना चाहिए?,क्योंकि यह दूसरों को आहत कर सकती है और बैंक की छवि को नुकसान पहुंचा सकती है।,Analytical,Medium,भाषा संबंधी प्रतिबंध क्यों लगाए गए हैं?,सम्मानजनक और व्यावसायिक वातावरण बनाए रखने के लिए।,Analytical,Medium
Social Media Policy/Banking Regulations,ऐसी किसी भी सामग्री को पोस्ट करने से बचें जो किसी भी कानून का उल्लंघन कर सकती है या जो सार्वजनिक नीति के विरुद्ध हो सकती है या जो किसी भी व्यक्ति के गोपनीयता अधिकारों का उल्लंघन कर सकती है।,कौन सी सामग्री पोस्ट करने से बचना चाहिए?,"जो किसी भी कानून का उल्लंघन करती है, सार्वजनिक नीति के विरुद्ध है, या किसी के गोपनीयता अधिकारों का उल्लंघन करती है।",Factual,Medium,गोपनीयता अधिकारों का उल्लंघन करने वाली सामग्री के बारे में क्या नियम है?,पोस्ट करने से बचना चाहिए।,Factual,Easy,कानून का उल्लंघन करने वाली सामग्री के संबंध में क्या सावधानी बरतनी चाहिए?,ऐसी सामग्री पोस्ट नहीं करनी चाहिए।,Analytical,Medium,सार्वजनिक नीति के विरुद्ध सामग्री का क्या अर्थ है?,"जो सरकारी नियमों, सामाजिक मानदंडों या कानूनी प्रावधानों के खिलाफ हो।",Analytical,Hard
Social Media Policy/Banking Regulations,किसी भी व्यक्ति द्वारा किसी भी उत्पाद और सेवाओं आदि की बिक्री के बारे में किया गया पोस्ट वर्जित होगा। इस तरह के पोस्ट करने वाले व्यक्तियों/किसी भी संस्था को बिना किसी सूचना के बैंक के सोशल मीडिया प्लेटफॉर्म पर भविष्य में पोस्ट करने से ब्लॉक किया जा सकता है।,उत्पादों और सेवाओं की बिक्री संबंधी पोस्ट के बारे में क्या नियम है?,वर्जित है और ऐसे व्यक्तियों/संस्थाओं को बिना सूचना के ब्लॉक किया जा सकता है।,Factual,Medium,प्रतिबंधित पोस्ट करने पर क्या कार्रवाई की जा सकती है?,व्यक्तियों/संस्थाओं को बिना सूचना के बैंक के सोशल मीडिया प्लेटफॉर्म पर भविष्य में पोस्ट करने से ब्लॉक किया जा सकता है।,Factual,Medium,बिक्री संबंधी पोस्ट पर प्रतिबंध क्यों है?,क्योंकि यह बैंक के सोशल मीडिया के उद्देश्य के विरुद्ध है और व्यावसायिक गतिविधि है।,Analytical,Medium,ब्लॉक करने का अधिकार बैंक के विवेक पर क्यों छोड़ा गया है?,ताकि प्रत्येक मामले की परिस्थितियों के आधार पर उचित निर्णय लिया जा सके।,Analytical,Hard
Banking/Refinance Operations,नाबार्ड के दीर्घावधि पुनर्वित्त के माध्यम से विवेश ऋण पर बल दिया जाता है जिससे आस्ति-सृजन के जरिये पूँजी निर्माण होता है। कृषि में पूँजी निर्माण कृषि उत्पादन और उत्पादकता बढाने की दृष्टि से महत्वपूर्ण है।,नाबार्ड के दीर्घावधि पुनर्वित्त का मुख्य उद्देश्य क्या है?,विवेश ऋण पर बल देना जिससे आस्ति-सृजन के जरिये पूँजी निर्माण होता है।,Factual,Medium,कृषि में पूँजी निर्माण क्यों महत्वपूर्ण है?,कृषि उत्पादन और उत्पादकता बढाने की दृष्टि से और किसानों को मौसम की अनिश्चितता से संरक्षण देने के लिए।,Analytical,Medium,अनुषंगी गतिविधियों में पूँजी निर्माण किसानों को क्या लाभ देता है?,पूरे साल किसानों के आय-प्रवाह को बनाए रखने में सहयोग देता है और उन्हें संकट को सहने के लिए अनुकूलन क्षमता देता है।,Analytical,Medium,जलवायु परिवर्तन से संरक्षण में पूँजी निर्माण कैसे मदद करता है?,संधारणीय आय-प्रवाह उपलब्ध कराकर और किसानों को मौसम की अनिश्चितता से संरक्षण देकर।,Analytical,Hard
Banking/Refinance Operations,नाबार्ड ग्रामीण वित्तीय संस्थाओं को अल्पावधि पुनर्वित्त प्रदान करता है ताकि वे फसल के सीज़न में किसानों को समय पर वित्त उपलब्ध कराने में सक्षम हो सकें।,नाबार्ड अल्पावधि पुनर्वित्त क्यों प्रदान करता है?,ताकि वे फसल के सीज़न में किसानों को समय पर वित्त उपलब्ध कराने में सक्षम हो सकें।,Factual,Easy,अल्पावधि पुनर्वित्त किस सीज़न में उपयोगी है?,फसल के सीज़न में।,Analytical,Easy,समय पर वित्त उपलब्ध कराने का क्या महत्व है?,किसानों को फसल उत्पादन के लिए समय पर आवश्यक निविष्टियाँ खरीदने में सक्षम बनाता है।,Analytical,Medium,ग्रामीण वित्तीय संस्थाओं को पुनर्वित्त देने का दीर्घकालिक प्रभाव क्या है?,ग्रामीण अर्थव्यवस्था को मजबूती मिलती है और किसानों तक बैंकिंग सेवाओं की पहुँच बढती है।,Analytical,Hard
Banking/Refinance Operations,नाबार्ड जिला मध्यवर्ती सहकारी बैंकों और राज्य सहकारी बैंकों के ऋण वितरण संबंधी संसाधनों में वृद्धि लाने हेतु उन्हें प्रत्यक्ष वित्तपोषण प्रदान करने के लिए बहु-उद्देशीय अल्पावधि ऋण उपलब्ध कराता है।,प्रत्यक्ष पुनर्वित्त सहयोग (डीआरए) क्या है?,जिला मध्यवर्ती सहकारी बैंकों और राज्य सहकारी बैंकों के ऋण वितरण संबंधी संसाधनों में वृद्धि लाने हेतु बहु-उद्देशीय अल्पावधि ऋण।,Factual,Medium,डीआरए किन बैंकों को दिया जाता है?,जिला मध्यवर्ती सहकारी बैंकों और राज्य सहकारी बैंकों को।,Analytical,Easy,डीआरए बहु-उद्देशीय ऋण क्यों कहलाता है?,क्योंकि यह विभिन्न प्रयोजनों के लिए उपयोग किया जा सकता है।,Analytical,Medium,बहु-उद्देशीय ऋण से सहकारी बैंकों को क्या लाभ होता है?,ऋण वितरण संबंधी संसाधनों में वृद्धि होती है जिससे वे अधिक किसानों को ऋण दे सकते हैं।,Analytical,Medium
Banking/Refinance Operations,किसानों के लिए प्रधान मंत्री के पैकेज के भाग के रूप में माननीय वित्त मंत्री ने केसीसी संतृप्ति के दूसरे चरण के अंतर्गत 2.5 करोड़ किसानों को शामिल करने की घोषणा की।,केसीसी संतृप्ति चरण II के अंतर्गत कितने किसानों को शामिल करने की घोषणा की गई?,2.5 करोड़ किसानों को।,Factual,Easy,डेयरी और मत्स्य किसानों के लिए केसीसी की क्या घोषणा की गई?,1.5 करोड़ डेयरी किसानों और 1 करोड़ मत्स्य किसानों को केसीसी उपलब्ध कराने का विशेष अभियान।,Analytical,Medium,केसीसी संतृप्ति चरण II का उद्देश्य क्या था?,कृषि क्षेत्र को ऋण उपलब्ध कराना।,Analytical,Medium,पशुपालन और डेयरी विभाग ने केसीसी अभियान क्यों शुरू किया?,डेयरी और मत्स्य किसानों को औपचारिक बैंकिंग प्रणाली से जोड़ने और उन्हें वित्तीय सहायता प्रदान करने के लिए।,Analytical,Medium
Banking/Refinance Operations,पुनर्वित्त जारी करने के संबंध में नीतिगत दिशानिर्देश वार्षिक आधार पर बैंकों को वर्ष के आरम्भ में जारी किए जाते हैं। इस संबंध में नाबार्ड द्वारा समय-समय पर परिचालनात्मक दिशानिर्देश जारी किए जाते हैं।,पुनर्वित्त के नीतिगत दिशानिर्देश कब जारी किए जाते हैं?,वार्षिक आधार पर बैंकों को वर्ष के आरम्भ में।,Factual,Easy,परिचालनात्मक दिशानिर्देश कौन जारी करता है?,नाबार्ड द्वारा समय-समय पर।,Analytical,Easy,नाबार्ड सामान्य विनियमावली 1982 का कौन सा विनियम लागू होता है?,विनियम 11(2)।,Analytical,Easy,उत्तरदायित्व के लिए नाबार्ड की नीति क्या है?,नाबार्ड सामान्य विनियमावली के अनुसार उत्तरदायित्व का पालन किया जाता है।,Analytical,Medium
Banking/Refinance Operations,"नाबार्ड अनुसूचित वाणिज्यिक बैंकों, क्षेत्रीय ग्रामीण बैंकों, राज्य सहकारी बैंकों, राज्य सहकारी कृषि और ग्रामीण विकास बैंकों, जिला मध्यवर्ती सहकारी बैंकों, प्राथमिक शहरी सहकारी बैंकों, लघु वित्त बैंकों, एनबीएफसी को पुनर्वित्त सहायता देता है।",नाबार्ड किन संस्थाओं को पुनर्वित्त सहायता देता है?,"अनुसूचित वाणिज्यिक बैंकों, क्षेत्रीय ग्रामीण बैंकों, राज्य सहकारी बैंकों, लघु वित्त बैंकों, एनबीएफसी आदि को।",Factual,Easy,नाबार्ड किन क्षेत्रों की गतिविधियों के लिए पुनर्वित्त देता है?,कृषि और कृषीतर दोनो क्षेत्रों की गतिविधियों के लिए।,Analytical,Easy,पुनर्वित्त सहायता में नाबार्ड सहायक कंपनियां कौन सी हैं?,"नैबकिसान, नैबफिन्स, नैबसमृद्धि।",Analytical,Easy,भारतीय रिज़र्व बैंक द्वारा अनुमोदित अन्य वित्तीय संस्थाएँ कौन सी हो सकती हैं?,"यह नाबार्ड और आरबीआई के निर्णयों पर निर्भर करता है, जिसमें नई वित्तीय तकनीक और फिनटेक कंपनियाँ शामिल हो सकती हैं।",Analytical,Hard
Banking/Refinance Operations,"पुनर्वित्त की प्रमात्रा समय-समय पर निर्धारित हमारी पुनर्वित्त नीति के पात्रता-मानदंडों के अधीन होती है। निधियों की लागत, बाजार की स्थितियों आदि को ध्यान में रखते हुए समय-समय पर पुनर्वित्त पर ब्याज दर की समीक्षा की जाती है।",पुनर्वित्त पर ब्याज दर की समीक्षा किस आधार पर की जाती है?,"निधियों की लागत, बाजार की स्थितियों आदि को ध्यान में रखते हुए।",Factual,Medium,पुनर्वित्त की प्रमात्रा किस पर निर्भर करती है?,पुनर्वित्त नीति के पात्रता-मानदंडों के अधीन।,Analytical,Medium,ब्याज दर निर्धारण में कौन से कारक महत्वपूर्ण हैं?,निधियों की लागत और बाजार की स्थितियाँ।,Analytical,Medium,समय-समय पर ब्याज दर समीक्षा क्यों आवश्यक है?,बाजार की गतिशील स्थितियों और निधि की लागत में परिवर्तन के अनुरूप दरों को समायोजित करने के लिए।,Analytical,Medium
Banking/Refinance Operations,दीर्घावधि पुनर्वित्त की चुकौती अवधि 3 वर्ष से 5 वर्ष तक और उससे अधिक होती है। मध्यावधि पुनर्वित्त की न्यूनतम चुकौती अवधि 18 माह और अधिकतम 3 वर्ष है।,दीर्घावधि पुनर्वित्त की चुकौती अवधि क्या है?,3 वर्ष से 5 वर्ष तक और उससे अधिक।,Factual,Easy,मध्यावधि पुनर्वित्त की चुकौती अवधि क्या है?,न्यूनतम 18 माह और अधिकतम 3 वर्ष।,Analytical,Easy,दीर्घावधि और मध्यावधि पुनर्वित्त में मुख्य अंतर क्या है?,"चुकौती अवधि - दीर्घावधि 3-5+ वर्ष, मध्यावधि 18 माह से 3 वर्ष।",Analytical,Medium,पात्र प्रयोजनों में निवेश गतिविधियाँ क्यों शामिल हैं?,क्योंकि निवेश से दीर्घकालिक उत्पादकता में वृद्धि होती है और किसानों की आय में स्थिरता आती है।,Analytical,Hard
Banking/Refinance Operations,दीर्घावधि ग्रामीण ऋण निधि की घोषणा भारत सरकार द्वारा संघीय बजट 2014-15 में की गई ताकि सहकारी बैंकों और क्षेत्रीय ग्रामीण बैंकों को रियायती ब्याज दर पर किसानों को सावधि कृषि ऋण देने के लिए प्रोत्साहित किया जा सके।,दीर्घावधि ग्रामीण ऋण निधि की घोषणा कब और क्यों की गई?,"संघीय बजट 2014-15 में, किसानों को रियायती ब्याज दर पर सावधि कृषि ऋण देने के लिए।",Factual,Medium,दीर्घावधि ग्रामीण ऋण निधि का आरंभिक आबंटन कितना था?,रु. 5000 करोड़।,Analytical,Easy,2024-25 के दौरान दीर्घावधि ग्रामीण ऋण निधि में कितनी राशि आबंटित की गई?,रु. 8023.75 करोड़।,Analytical,Easy,रियायती ब्याज दर क्यों प्रदान की जाती है?,किसानों को प्रोत्साहित करने और कृषि क्षेत्र में निवेश बढाने के लिए।,Analytical,Medium
Banking/Refinance Operations,"बैंकों द्वारा ऋण देने की उत्पादन-उन्मुख प्रणाली का अनुसरण किया जाता है। इस प्रणाली में ऋण आवश्यकता के आकलन और उर्वरकों, कीटनाशकों आदि जैसी निविष्टियों की खरीद के लिए ऋण के प्रावधान जैसी विशेषताएँ हैं।",बैंकों द्वारा किस प्रणाली का अनुसरण किया जाता है?,उत्पादन-उन्मुख प्रणाली।,Factual,Easy,उत्पादन-उन्मुख प्रणाली में कौन सी विशेषताएँ हैं?,"ऋण आवश्यकता के आकलन और उर्वरकों, कीटनाशकों आदि की खरीद के लिए ऋण के प्रावधान।",Analytical,Medium,फसल के मौसम का पालन क्यों महत्वपूर्ण है?,ऋण देने और उसकी वसूली में फसल के मौसम का समन्वय सुनिश्चित करने के लिए।,Analytical,Medium,वित्तमान कैसे तय किए जाते हैं?,प्रत्येक फसल और जिले के लिए विशिष्ट आवश्यकताओं और लागतों के आधार पर।,Analytical,Medium
Banking/Refinance Operations,अल्पावधि सहकारी ऋण (एसटीसीआरसी) निधि और अल्पावधि क्षेग्रा बैंक (एसटीआरआरबी) पुनर्वित्त निधि भारत सरकार/भारतीय रिज़र्व बैंक द्वारा अनुसूचित वाणिज्यिक बैंकों के प्राथमिकता क्षेत्र ऋणीकरण में की गई कमी की राशि से गठित की गई है।,एसटीसीआरसी और एसटीआरआरबी निधि कैसे गठित की गई है?,अनुसूचित वाणिज्यिक बैंकों के प्राथमिकता क्षेत्र ऋणीकरण में की गई कमी की राशि से।,Factual,Medium,इन निधियों का उद्देश्य क्या है?,सहकारी बैंकों और क्षेत्रीय ग्रामीण बैंकों को अल्पावधि पुनर्वित्त उपलब्ध कराने के लिए संसाधनों में वृद्धि करना।,Analytical,Medium,प्राथमिकता क्षेत्र ऋणीकरण में कमी का क्या अर्थ है?,बैंकों ने निर्धारित लक्ष्यों और उप-लक्ष्यों को हासिल करने में कमी की हो।,Analytical,Hard,अनुसूचित वाणिज्यिक बैंक इन निधियों में अंशदान क्यों करते हैं?,क्योंकि उन्होंने प्राथमिकता क्षेत्र के लक्ष्य पूरे नहीं किए हैं और यह एक नियामक आवश्यकता है।,Analytical,Hard
Banking/Refinance Operations,"वर्ष 2024-25 के दौरान एसटीसीआरसी निधि के अंतर्गत रु. 32,079.11 करोड़ और एसटीआरआरबी निधि के अंतर्गत रु. 7023.74 करोड़ आबंटित किए गए।",वर्ष 2024-25 में एसटीसीआरसी निधि के अंतर्गत कितनी राशि आबंटित की गई?,"रु. 32,079.11 करोड़",Factual,Easy,एसटीआरआरबी निधि के अंतर्गत कितनी राशि आबंटित की गई?,रु. 7023.74 करोड़।,Analytical,Easy,नाबार्ड इन निधियों की अनुपूर्ति कैसे करता है?,खुले बाजार से उधार लेकर।,Analytical,Medium,अतिरिक्त अल्पावधि पुनर्वित्त कब शुरू किया गया?,2016-17 के दौरान बढ़ती मांग और तरलता बाधाओं को देखते हुए।,Analytical,Easy
Banking/Refinance Operations,"प्राकृतिक आपदाओं से प्रभावित किसानों के, मध्यावधि स्थिरीकरण व्यवस्था के अंतर्गत परिवर्तित/पुन:अनुसूचित/पुनःचरणीकृत किए गए ऋणों के समक्ष राज्य सहकारी बैंकों और क्षेत्रीय ग्रामीण बैंकों को पुनर्वित्त सुविधा उपलब्ध है।",प्राकृतिक आपदाओं से प्रभावित किसानों के लिए क्या सुविधा उपलब्ध है?,मध्यावधि स्थिरीकरण व्यवस्था के अंतर्गत परिवर्तित/पुन:अनुसूचित ऋणों के समक्ष पुनर्वित्त सुविधा।,Factual,Medium,राज्य सहकारी बैंकों को पुनर्वित्त सुविधा किन ऋणों के लिए उपलब्ध है?,परिवर्तित/पुन:अनुसूचित/पुनःचरणीकृत किए गए ऋणों के लिए।,Analytical,Medium,राज्य सरकार की भागीदारी परिवर्तन सुविधा में कितनी होती है?,15%।,Analytical,Easy,मध्यावधि स्थिरीकरण व्यवस्था का उद्देश्य क्या है?,प्राकृतिक आपदाओं से प्रभावित किसानों को राहत प्रदान करना और उन्हें वित्तीय स्थिरता देना।,Analytical,Medium
Banking/Refinance Operations,"राज्य सहकारी बैंक के मामले में परिवर्तन सुविधा में नाबार्ड की भागीदारी 60%, राज्य सरकार की 15% और राज्य सहकारी बैंक की 25% होती है।",मध्यावधि परिवर्तन सुविधा में नाबार्ड की भागीदारी कितनी होती है?,राज्य सहकारी बैंक के मामले में 60%।,Factual,Easy,क्षेत्रीय ग्रामीण बैंक के मामले में नाबार्ड की भागीदारी कितनी होती है?,70%।,Analytical,Easy,प्रायोजक बैंक की भागीदारी क्षेग्रा बैंक के मामले में कितनी होती है?,25%।,Analytical,Easy,नाबार्ड की अधिक भागीदारी क्यों आवश्यक है?,क्योंकि नाबार्ड के पास अधिक संसाधन हैं और यह ग्रामीण वित्त में विशेषज्ञता रखता है।,Analytical,Hard
Banking/Refinance Operations,"क्षेत्रीय कार्यालय द्वारा जारी की गई नवीनतम निरीक्षण रिपोर्ट के अनुसार सुशासित और वित्तीय रूप से सुदृढ़ ""A"" और ""B"" श्रेणी रेटिंग वाले राज्य सहकारी बैंकों और जिला मध्यवर्ती सहकारी बैंकों को ऋण सीमा मंजूर की जाएगी।",डीआरए के लिए कौन से बैंक पात्र हैं?,"सुशासित और वित्तीय रूप से सुदृढ़ ""A"" और ""B"" श्रेणी रेटिंग वाले बैंक।",Factual,Medium,"""C"" रेटिंग वाले बैंकों के लिए क्या शर्त है?",ऋण राशि के 110% के बराबर पात्र संपार्श्विक सुरक्षा के विरुद्ध सुरक्षित होना चाहिए।,Analytical,Hard,सुशासित और वित्तीय रूप से सुदृढ़ बैंकों का निर्धारण कैसे होता है?,क्षेत्रीय कार्यालय द्वारा जारी नवीनतम निरीक्षण रिपोर्ट के अनुसार।,Analytical,Medium,संपार्श्विक सुरक्षा का महत्व क्या है?,जोखिम को कम करने और ऋण की सुरक्षा सुनिश्चित करने के लिए।,Analytical,Medium
Banking/Refinance Operations,डीआरए के अंतर्गत पात्र बैंकों हेतु नाबार्ड से उपलब्ध पुनर्वित्त सहायता की मात्रा पात्र प्रयोजन हेतु उन्हें मंजूर की गई राशि का 100% तक है।,डीआरए के अंतर्गत पुनर्वित्त सहायता की मात्रा कितनी है?,मंजूर की गई राशि का 100% तक।,Factual,Easy,चीनी फ़ैक्टरी हेतु कितनी वित्तीय सहायता उपलब्ध है?,मंजूर की गई ऋण सीमा के 75% तक।,Analytical,Medium,डीआरए में कौन सी गतिविधियाँ पात्र हैं?,"कार्यशील पूँजी, कृषि उपकरण की मरम्मत, उत्पाद का भंडारण/ग्रेडिंग, फसल ऋण आदि।",Analytical,Medium,राष्ट्रीय खाद्य ऋण कॉन्सोर्टियम में सहभागिता क्यों पात्र है?,क्योंकि यह खाद्य सुरक्षा और राष्ट्रीय महत्व का कार्यक्रम है।,Analytical,Hard
